OrderID;CustomerID;EmployeeID;OrderDate;RequiredDate;ShippedDate;ShipVia;Freight;ShipName;ShipAddress;ShipCity;ShipRegion;ShipPostalCode;ShipCountry;ContactTitle
1;ALFKI;1;2015.03.17 17:25;2015.12.24 21:28;2015.08.14 22:46;2;6.0000;lacus. Quisque purus sapien,;"Ap #666-239 Curae; Street";Södertälje;Stockholms län;72853;French Guiana;Lorem ipsum
2;ANATR;1;2015.05.14 21:35;2015.07.31 07:07;2015.09.19 21:20;1;70.0000;dui, nec tempus mauris erat;P.O. Box 752, 5937 Lorem Rd.;Assen;Dr;9644;Niger;Lorem
3;ANTON;2;2015.01.26 05:49;2015.09.18 07:18;2015.09.23 14:15;2;49.0000;hendrerit consectetuer, cursus;Ap #250-6048 Libero Avenue;Hamilton;VIC;4820;Ecuador;Lorem
4;AROUT;3;2015.04.26 10:11;2015.10.21 01:41;2015.08.30 01:11;3;5.0000;hendrerit;3403 Nonummy. St.;Istanbul;Ist;21509;Barbados;Lorem
5;BERGS;2;2015.04.07 15:59;2015.10.22 01:01;2015.07.03 13:56;2;40.0000;a, magna.;4380 Ut Rd.;Camarones;XV;5317;United States;Lorem ipsum
6;BLAUS;5;2015.04.02 07:17;2015.10.12 12:20;2015.09.30 02:19;2;47.0000;vitae;674-9185 Netus Road;Alacant;Comunitat Valenciana;73798;Macedonia;Lorem ipsum dolor
7;BLONP;5;2015.01.29 12:06;2015.12.18 06:02;2015.08.05 09:11;1;13.0000;et;770-300 Velit. Rd.;Morwell;Victoria;75672;Iceland;Lorem ipsum
8;BOLID;6;2015.04.25 20:08;2015.09.01 12:19;2015.07.13 15:44;2;14.0000;est, congue;P.O. Box 795, 5756 Aliquam Rd.;Vienna;Vienna;2026;South Sudan;Lorem ipsum dolor
9;BONAP;5;2015.06.28 00:46;2015.08.27 22:38;2015.08.10 06:52;3;53.0000;magna. Lorem ipsum dolor sit;8162 Ut Road;Vienna;Vienna;89621;Myanmar;Lorem
10;BOTTM;7;2015.05.24 19:46;2015.08.23 06:23;2015.08.18 14:56;3;71.0000;libero;896-7958 Nibh Ave;Berlin;BE;52-864;Turkmenistan;Lorem ipsum
11;BSBEV;6;2015.05.06 07:34;2015.12.14 21:54;2015.08.05 11:55;2;74.0000;arcu. Morbi sit amet;3089 Arcu Av.;Thorold;Ontario;875407;Nicaragua;Lorem
12;CACTU;4;2015.04.03 16:23;2015.07.08 02:27;2015.07.12 03:39;1;68.0000;augue ac;7396 Dolor. Road;Viano;ERM;782411;Greenland;Lorem ipsum
13;CENTC;5;2015.04.15 21:17;2015.11.18 14:01;2015.08.05 15:44;2;53.0000;pede sagittis;1607 Phasellus Rd.;Saguenay;Quebec;2295;United States Minor Outlying Islands;Lorem ipsum dolor
14;CHOPS;2;2015.06.17 04:56;2015.07.10 12:38;2015.08.10 12:12;2;44.0000;Phasellus;Ap #384-8572 Maecenas St.;Schönebeck;Saxony-Anhalt;G85 6OJ;Saint Barthélemy;Lorem ipsum dolor
15;COMMI;8;2015.04.18 23:50;2015.09.14 12:47;2015.07.29 13:23;1;79.0000;metus. Aenean;6365 Purus. Av.;Monfumo;VEN;3386MN;Zambia;Lorem ipsum dolor
16;CONSH;7;2015.01.30 01:02;2015.07.06 12:28;2015.08.17 04:47;1;89.0000;in;130-1067 Elit. Av.;Saint-Malo;BR;DG2 1FT;Tuvalu;Lorem
17;DRACD;3;2015.01.21 13:24;2015.12.22 20:11;2015.09.27 11:30;1;71.0000;risus. Donec nibh enim, gravida;P.O. Box 711, 9155 Risus Rd.;Curacaví;Metropolitana de Santiago;83853;Korea, South;Lorem ipsum dolor
18;DUMON;9;2015.05.18 11:48;2015.11.20 13:28;2015.08.11 02:56;3;34.0000;velit. Pellentesque ultricies;Ap #107-4117 Magna. St.;Lacombe County;Alberta;40258;Lithuania;Lorem
